"","Factor","df","LRT","F","p","label"
"304","stim_type:US_type",1,18.1808086939927,1.72798955998167,0.002,"R_SCEF_ROI-rh"
"305","stim_type:US_type",1,5.12560844412656,0.490389307698366,0.052,"R_SFL_ROI-rh"
"306","stim_type:US_type",1,17.7047349683817,1.67487275920744,0,"R_STGa_ROI-rh"
"307","stim_type:US_type",1,2.92355635864806,0.279633125160468,0.131,"R_STSda_ROI-rh"
"308","stim_type:US_type",1,11.4217093183652,1.09059168928841,0.009,"R_STSdp_ROI-rh"
"309","stim_type:US_type",1,0.182518694793544,0.017170024224247,0.556,"R_STSva_ROI-rh"
"310","stim_type:US_type",1,14.1681241233273,1.33648672378164,0.008,"R_STSvp_ROI-rh"
"311","stim_type:US_type",1,17.4448325219018,1.65571581819484,0.001,"R_STV_ROI-rh"
"312","stim_type:US_type",1,1.62457267755963,0.1537429793493,0.183,"R_TA2_ROI-rh"
"313","stim_type:US_type",1,1.11837679187374,0.106006513342384,0.241,"R_TE1a_ROI-rh"
"314","stim_type:US_type",1,7.20774815183177,0.680550425082503,0.033,"R_TE1m_ROI-rh"
"315","stim_type:US_type",1,24.2416112302417,2.32919375055596,0,"R_TE1p_ROI-rh"
"316","stim_type:US_type",1,0.518072950973874,0.049548398317347,0.377,"R_TE2a_ROI-rh"
"317","stim_type:US_type",1,2.6502179089548,0.252579710611369,0.122,"R_TE2p_ROI-rh"
"318","stim_type:US_type",1,3.73834681075823,0.351937460522505,0.083,"R_TF_ROI-rh"
"319","stim_type:US_type",1,2.14826218667804,0.20381837789626,0.171,"R_TGd_ROI-rh"
"320","stim_type:US_type",1,38.4862582585156,3.66891345286864,0,"R_TGv_ROI-rh"
"321","stim_type:US_type",1,13.1562027430809,1.24843491996659,0.008,"R_TPOJ1_ROI-rh"
"322","stim_type:US_type",1,0.155562228050258,0.014751897679785,0.599,"R_TPOJ2_ROI-rh"
"323","stim_type:US_type",1,2.63902737480021,0.254455239089395,0.118,"R_TPOJ3_ROI-rh"
"324","stim_type:US_type",1,125.657411104166,11.9755568669487,0,"R_V1_ROI-rh"
"325","stim_type:US_type",1,89.2875692635498,8.58848878549228,0,"R_V2_ROI-rh"
"326","stim_type:US_type",1,18.2072779143055,1.72836287329501,0,"R_V3A_ROI-rh"
"327","stim_type:US_type",1,39.9241417135345,3.81449443057699,0,"R_V3B_ROI-rh"
"328","stim_type:US_type",1,60.9264614560889,5.84366592075818,0,"R_V3CD_ROI-rh"
"329","stim_type:US_type",1,1.92750863360561,0.18285277381377,0.161,"R_V3_ROI-rh"
"330","stim_type:US_type",1,0.479086052961065,0.0453293493483191,0.383,"R_V4_ROI-rh"
"331","stim_type:US_type",1,23.4633722620674,2.24051783362082,0.001,"R_V4t_ROI-rh"
"332","stim_type:US_type",1,31.145973725208,2.96120200026794,0,"R_V6A_ROI-rh"
"333","stim_type:US_type",1,16.3534021071609,1.55005435613348,0.002,"R_V6_ROI-rh"
"334","stim_type:US_type",1,11.2191217534637,1.05941189258611,0.007,"R_V7_ROI-rh"
"335","stim_type:US_type",1,3.08299067479311,0.293350579086064,0.105,"R_V8_ROI-rh"
"336","stim_type:US_type",1,3.59875177867798,0.344319156734831,0.13,"R_VIP_ROI-rh"
"337","stim_type:US_type",1,9.61536549695302,0.912112087725141,0.017,"R_VMV1_ROI-rh"
"338","stim_type:US_type",1,0.219091365095665,0.0204834635071248,0.519,"R_VMV2_ROI-rh"
"339","stim_type:US_type",1,1.39488386657467,0.132357064843612,0.217,"R_VMV3_ROI-rh"
"340","stim_type:US_type",1,0.364566646821913,0.0347838060079918,0.442,"R_VVC_ROI-rh"
"341","stim_type:US_type",1,1.53267777207293,0.146208926906861,0.183,"R_a10p_ROI-rh"
"342","stim_type:US_type",1,10.1875847525116,0.975725765082097,0.013,"R_a24_ROI-rh"
"343","stim_type:US_type",1,8.77100187489123,0.835681951404379,0.026,"R_a24pr_ROI-rh"
"344","stim_type:US_type",1,1.05192107196126,0.10103440360097,0.247,"R_a32pr_ROI-rh"
"345","stim_type:US_type",1,15.5090492230047,1.4831484918302,0.003,"R_a47r_ROI-rh"
"346","stim_type:US_type",1,1.54071071289218,0.145995999179076,0.203,"R_a9-46v_ROI-rh"
"347","stim_type:US_type",1,18.2647313270209,1.74924778887883,0.001,"R_d23ab_ROI-rh"
"348","stim_type:US_type",1,4.21098562505722,0.40214613593631,0.074,"R_d32_ROI-rh"
"349","stim_type:US_type",1,0.0369272906573315,0.00349132276479916,0.793,"R_i6-8_ROI-rh"
"350","stim_type:US_type",1,0.635739317494881,0.0607620791581945,0.341,"R_p10p_ROI-rh"
"351","stim_type:US_type",1,4.23229735413406,0.403415472734375,0.066,"R_p24_ROI-rh"
"352","stim_type:US_type",1,0.0291583506805182,0.0027571663275082,0.817,"R_p24pr_ROI-rh"
"353","stim_type:US_type",1,7.20200649310573,0.686025026832909,0.036,"R_p32_ROI-rh"
"354","stim_type:US_type",1,0.0041822023667919,0.000393607484334526,0.934,"R_p32pr_ROI-rh"
"355","stim_type:US_type",1,6.64492513540245,0.630315630957926,0.031,"R_p47r_ROI-rh"
"356","stim_type:US_type",1,11.4442718904211,1.09070794845375,0.009,"R_p9-46v_ROI-rh"
"357","stim_type:US_type",1,23.1714080935526,2.19970421291104,0,"R_pOFC_ROI-rh"
"358","stim_type:US_type",1,15.9875518885165,1.52725800178855,0.001,"R_s32_ROI-rh"
"359","stim_type:US_type",1,0.124696364655392,0.0119430549788254,0.639,"R_s6-8_ROI-rh"
"360","stim_type:US_type",1,46.711210419202,4.45442640891174,0,"R_v23ab_ROI-rh"
